label,text
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
ham,Ok then i will come to ur home after half an hour
ham,ITS A LAPTOP TAKE IT WITH YOU.
ham,S.i think he is waste for rr..
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
Spam,PL: Battle Royale! Gilchrist Vs Warne today at 8PM. Click http://ipl.onmix.mobi/?src=504 for IPL on mobile. To stop MIX alerts click http://onmix.mobi/alert
ham,Dun need to use dial up juz open da browser n surf...
ham,You call him and tell now infront of them. Call him now.
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?
ham,And by when you're done I mean now
ham,I dont want to hear anything
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
ham,"[…] anyway, many good evenings to u! s"
ham,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.
ham,Ü takin linear algebra today?
ham,"Jan is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj"
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
ham,Jus finish bathing...
ham,"I think your mentor is , but not 100 percent sure."
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
ham,Ok set let u noe e details later...
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.
ham,Ok..lets find out�
ham,You busy or can I come by at some point and figure out what we're doing tomorrow
ham,Thats cool. I want to please you...
ham,May i call You later Pls
spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
spam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk"
ham,Good Morning plz call me sir
ham,Lol alright i was thinkin that too haha
spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
ham,Ok pa. Nothing problem:-)
ham,"Alright omw, gotta change my order to a half8th"
ham,Sorry about that this is my mates phone and i didnt write it love Kate
ham,"Aight, see you in a bit"
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
spam,"Plots available at greater noida near pari chowk, regn ok. @ 2600/-per gauge.booking  starts with 30000/-onwards or full down.instalments also.call 9213241451."
ham,JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX
ham,"Actually , just do whatever, do find an excuse to be in tampa at some point before january though"
spam,"Dear customer, Due to BVN system upgrade your ATM CARD has been De-activated, to re-activate, kindly call customer care on 08065635084 for help."
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
ham,Are you at work right now ?
spam,You have 1 new voicemail. Please call 0871918154.
ham,At 4. Let's go to bill millers
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
ham,K..u also dont msg or reply to his msg..
ham,If india win or level series means this is record:)
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)"
ham,Wot u up 2 u weirdo?
spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
ham,Hmmm.but you should give it on one day..
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,Just do what ever is easier for you
ham,And whenever you and i see we can still hook up too.
spam,U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
ham,I attended but nothing is there.
spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
ham,Good morning pookie pie! Lol hope I didn't wake u up
spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com
ham,Do you know where my lab goggles went
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, PocketBabe.co.uk 0870241182716 "
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
ham,Is fujitsu s series lifebook good?
ham,Does uncle timi help in clearing cars
ham,"Greetings me, ! Consider yourself excused."
ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola."
ham,Hahaha..use your brain dear..that will work here�
ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
ham,Ill be there on  &lt;#&gt;  ok.
ham,Then she buying today? Ü no need to c meh...
ham,Babe ? I lost you ... Will you try rebooting ?
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
ham,Hey... Very inconvenient for your sis a not huh?
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
ham,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...
spam,FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
ham,Will you be here for food
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!!"
ham,"Yes, princess. Toledo."
ham,K..give back my thanks.
ham,Okay same with me. Well thanks for the clarification
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
ham,"Not sure yet, still trying to get a hold of him"
ham,I'm okay. Chasing the dream. What's good. What are you doing next.
ham,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
ham,Lol I would but despite these cramps I like being a girl.
ham,R we still meeting 4 dinner tonight?
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
ham,Have you not finished work yet or something?
ham,"I'm in a meeting, call me later at 4"
spam,"	Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
ham,Oh my God. I'm almost home
spam,My name is Theresa & I have 7.3milion Dollar to transfer to you for charity work to help the poor ones in ur place india. Contact memea.theresamarie@gmail.com
spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
ham,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? "
ham,Then ur physics get a-?
ham,This single single answers are we fighting? Plus i said am broke and you didnt reply
ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
ham,U too...
ham,Your account has been refilled successfully by INR 100.00; . Your KeralaCircle prepaid account balance is Rs.101.00 ; . Your Transaction ID is KR 3567 .
ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.
ham,No current and food here. I am alone also
ham,Hmm thinking lor...
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
ham,I think chennai well settled?
ham,Hi happy birthday. Hi hi hi hi hi hi hi
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
ham,"That's very rude, you on campus?"
ham,Did u see what I posted on your Facebook?
ham,He is world famamus....
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
spam,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app
ham,Aight ill get on fb in a couple minutes
ham,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701462. Claim code KL345.
ham,If u sending her home first it's ok lor. I'm not ready yet.
ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
ham,"Yeah, probably earlier than that"
ham,If you r at home then I am coming within 20 mins
ham,Printer is cool. I mean groovy. Wine is groovying
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out
ham,"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date."
ham,Some are lasting as much as 2 hours. You might get lucky.
ham,Package all your programs well
ham,He didn't see his shadow. We get an early spring yay
spam,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call 6299257179. Claim Code FLIP02. Valid 12hrs only. "
spam,"Please call our customer service representative on 6200992462 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.8,00,000 FL1PKART TEAM"
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
ham,"Sure, whenever you show "
ham,Oh god. I'm gonna Google nearby cliffs now.
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
ham,....photoshop makes my computer shut down.
ham,Hey you told your name to gautham ah?
ham,New car and house for my parents.:)i have only new job in hand:)
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
ham,Hey what are you doing. Y no reply pa..
ham,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..
ham,Hi my email address has changed now it is
ham,No plm i will come da. On the way.
spam,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply."
ham,Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.
ham,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks
ham,Hey are we going for the lo lesson or gym?
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur loved ones�."
ham,Where in abj are you serving. Are you staying with dad or alone.
ham,Nope i'm not drivin... I neva develop da photos lei...
ham,Home so we can always chat
ham,Ok. C u then.
spam,YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd
ham,"Sorry sir, i will call you tomorrow.  senthil.hsbc"
ham,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.
ham,Pls dont forget to study
ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
ham,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.
ham,Are you willing to go for aptitude class.
ham,So wat's da decision?
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
ham,Ok... But bag again..
ham,Cool. Do you like swimming? I have a pool and jacuzzi at my house.
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
spam,You are a winner U have been specially selected 2 receive £1000 cash  speak to a live operator 2 claim 0871277810810
ham,It's ok i wun b angry. Msg u aft i come home tonight.
ham,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates
ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
ham,How much she payed. Suganya.
ham,You still at the game?
ham,K k:) sms chat with me.
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
ham,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
ham,Sorry for the delay. Yes masters
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say I miss u
ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?!
ham,Gud ni8 dear..sleep well�
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082
ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...
ham,May i call You later Please..I am busy ryt nw�
ham,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?"
ham,Me too! Have a lovely night xxx
ham,K..k...from tomorrow onwards started ah?
ham,Its a part of checking IQ
ham,Yes when is the appt again?
ham,Re your call; You didn't see my facebook huh?
ham,I cant pick the phone right now. I am busy
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
ham,You have registered Shijo as Payee. Log in at icicibank.com and enter URN  to confirm. Beware of frauds.
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
ham,I meant middle left or right?
ham,I dont know oh. Hopefully this month.
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.
ham,If he started searching he will get job in few days.he have great potential and talent.
ham,Can u look 4 me in da lib i got stuff havent finish yet.
ham,"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."
ham,"Yeah that's what I thought, lemme know if anything's goin on later"
ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
ham,Not tonight mate. Catching up on some sleep. This is my new number by the way.
ham,ALRITE
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,Once free call me sir. I am waiting for you.
ham,Thanks for looking out for me. I really appreciate.
ham,"K I'm ready,  &lt;#&gt; ?"
ham,Yup. Thk of u oso boring wat.
ham,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?"
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
ham,CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.
spam,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.5,00,000 prize GUARANTEED. Call 7044518857. Claim Code FLIP82. Valid 12hrs only. "
ham,Shant disturb u anymore... Jia you...
ham,"Dad wanted to talk about the apartment so I got a late start, omw now"
ham,"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh"""
ham,Will be office around 4 pm. Now i am going hospital.
ham,"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx"
ham,"Haha just kidding, papa needs drugs"
ham,Lol or I could just starve and lose a pound by the end of the day.
ham,"The table's occupied, I'm waiting by the tree"
ham,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx
ham,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night
ham,I have no idea where you are
ham,I'm in office now . I will call you  &lt;#&gt;  min:)
